,Date,Favored Team,Underdog Team,Favored Spread,Predicted Outcome,Confidence,Vig,Over Under,Predicted Total,Over Under Vig,Over Under Bet To Take,Over Under Conf,Spread Bet To Take,Half Kelly,Quarter Kelly,Over Under H Kelly,Final Score,Spread Cover,Over Cover
0,02/21/2022,Baylor,Oklahoma State,-5.0,Baylor Wins By 4.2,50.35%,-115,138.0,143.0,-110.0,Over 138.0,54.06%,Oklahoma State +5.0,-3.%,-1.%,1.6%,,,
1,02/21/2022,Ohio State,Indiana,-6.5,Ohio State Wins By 3.6,55.25%,-110,135.5,137.2,-110.0,Over 135.5,56.35%,Indiana +6.5,3.0%,1.5%,1.6%,,,
2,02/21/2022,San Francisco,Pacific,-12.5,San Francisco Wins By 12.0,51.42%,-110,136.5,137.5,-110.0,Over 136.5,54.06%,Pacific +12.5,-1.%,-0.%,1.6%,,,
3,02/21/2022,North Carolina,Louisville,-9.5,North Carolina Wins By 9.3,50.35%,-110,144.0,143.4,-110.0,Under 144.0,56.35%,Louisville +9.5,-2.%,-1.%,1.6%,,,
4,02/21/2022,TCU,West Virginia,-4.0,TCU Wins By 4.4,55.25%,-110,133.0,134.3,-110.0,Over 133.0,56.35%,TCU -4.0,3.0%,1.5%,1.6%,,,
5,02/21/2022,Syracuse,Georgia Tech,-8.5,Syracuse Wins By 9.9,55.25%,-110,146.0,138.7,-110.0,Under 146.0,56.35%,Syracuse -8.5,3.0%,1.5%,1.6%,,,
6,02/21/2022,Maryland,Penn State,-3.0,Maryland Wins By 3.0,55.25%,-110,128.5,133.5,-115.0,Over 128.5,56.35%,Maryland -3.0,3.0%,1.5%,0.4%,,,
7,02/21/2022,Drake,Indiana State,-10.5,Drake Wins By 9.3,51.42%,-110,142.0,138.1,-110.0,Under 142.0,56.35%,Indiana State +10.5,-1.%,-0.%,1.6%,,,
8,02/21/2022,Florida State,Boston College,-1.0,Florida State Wins By 1.4,51.42%,-110,137.0,141.6,-110.0,Over 137.0,54.06%,Florida State -1.0,-1.%,-0.%,1.6%,,,
9,02/21/2022,Middle Tennessee,UTEP,-5.5,Middle Tennessee Wins By 7.4,51.42%,-110,138.0,140.8,-110.0,Over 138.0,56.35%,Middle Tennessee -5.5,-1.%,-0.%,1.6%,,,
10,02/21/2022,New Mexico State,Seattle,-3.0,Seattle Wins By 1.9,55.25%,-105,144.0,143.5,-110.0,Under 144.0,56.35%,Seattle +3.0,4.1%,2.1%,1.6%,,,
11,02/21/2022,Colgate,American,-17.0,Colgate Wins By 15.6,51.42%,-110,137.0,135.0,-110.0,Under 137.0,56.35%,American +17.0,-1.%,-0.%,1.6%,,,
12,02/21/2022,Samford,The Citadel,-7.0,Samford Wins By 7.3,51.42%,-110,157.5,146.7,-110.0,Under 157.5,56.35%,Samford -7.0,-1.%,-0.%,1.6%,,,
13,02/21/2022,Texas Southern,Arkansas Pine Bluff,-9.5,Texas Southern Wins By 8.1,51.42%,100,136.5,139.8,-110.0,Over 136.5,54.06%,Arkansas Pine Bluff +9.5,1.4%,0.7%,1.6%,,,
14,02/21/2022,Norfolk State,Morgan State,-5.0,Norfolk State Wins By 5.9,51.42%,-115,147.0,147.5,-110.0,Over 147.0,54.06%,Norfolk State -5.0,-2.%,-1.%,1.6%,,,
15,02/21/2022,Valparaiso,Evansville,-8.5,Valparaiso Wins By 8.0,51.42%,-110,125.0,132.0,-110.0,Over 125.0,56.35%,Evansville +8.5,-1.%,-0.%,1.6%,,,
16,02/21/2022,Northern Colorado,Idaho State,-13.5,Northern Colorado Wins By 10.9,51.42%,-110,144.0,150.1,-115.0,Over 144.0,56.35%,Idaho State +13.5,-1.%,-0.%,0.4%,,,
17,02/21/2022,Howard,Coppin State,-7.5,Howard Wins By 9.0,51.42%,-115,148.0,147.7,-110.0,Under 148.0,56.35%,Howard -7.5,-2.%,-1.%,1.6%,,,
18,02/21/2022,Marshall,Southern Miss,-6.0,Marshall Wins By 1.6,51.42%,-115,151.5,148.3,-110.0,Under 151.5,54.06%,Southern Miss +6.0,-2.%,-1.%,1.6%,,,
19,02/21/2022,Florida A&M,Alabama A&M,-6.5,Florida A&M Wins By 6.3,51.42%,-105,124.5,129.2,-110.0,Over 124.5,56.35%,Alabama A&M +6.5,0.2%,0.1%,1.6%,,,
20,02/21/2022,South Carolina State,Delaware State,-9.5,South Carolina State Wins By 9.5,51.42%,-110,137.0,136.5,-110.0,Under 137.0,56.35%,South Carolina State -9.5,-1.%,-0.%,1.6%,,,
21,02/20/2022,Houston,Wichita State,-7.0,Houston Wins By 7.6,50.35%,-115,133.5,135.7,-110.0,Over 133.5,54.06%,Houston -7.0,-3.%,-1.%,1.6%,76-74,0.0,1.0
22,02/20/2022,Mississippi State,Missouri,-5.0,Mississippi State Wins By 4.4,50.35%,-110,132.0,135.0,-105.0,Over 132.0,54.06%,Missouri +5.0,-2.%,-1.%,2.7%,58-56,1.0,0.0
23,02/20/2022,USC,Washington State,-7.5,USC Wins By 2.3,55.25%,-110,132.5,133.5,-110.0,Over 132.5,56.35%,Washington State +7.5,3.0%,1.5%,1.6%,62-60,1.0,0.0
24,02/20/2022,Memphis,SMU,-2.5,SMU Wins By 1.8,55.25%,-115,146.5,140.2,-105.0,Under 146.5,56.35%,SMU +2.5,1.9%,0.8%,2.7%,57-73,1.0,1.0
25,02/20/2022,Creighton,Marquette,-1.0,Creighton Wins By 1.9,55.25%,-110,141.5,141.1,-110.0,Under 141.5,56.35%,Creighton -1.0,3.0%,1.5%,1.6%,83-82,1.0,0.0
