,Date,Favored Team,Underdog Team,Favored Spread,Predicted Outcome,Confidence,Vig,Over Under,Predicted Total,Over Under Vig,Over Under Bet To Take,Over Under Conf,Spread Bet To Take,Half Kelly,Quarter Kelly,Over Under H Kelly,Final Score,Spread Cover,Over Cover
0,11/24/2021,Texas,Cal Baptist,-22.0,Texas Wins By 20.5,50.35%,100,139.5,130.6,-110.0,Under 139.5,56.35%,Cal Baptist +22.0,0.4%,0.2%,1.6%,,,
1,11/24/2021,Memphis,Virginia Tech,-3.0,Memphis Wins By 5.0,57.32%,-110,140.5,127.8,-110.0,Under 140.5,54.76%,Memphis -3.0,5.2%,2.6%,1.6%,,,
2,11/24/2021,Baylor,Arizona State,-12.0,Baylor Wins By 9.9,55.25%,-105,139.0,137.5,-115.0,Under 139.0,54.76%,Arizona State +12.0,4.1%,2.1%,0.4%,,,
3,11/24/2021,Houston,Oregon,-5.0,Houston Wins By 5.9,55.25%,-110,131.0,129.9,-105.0,Under 131.0,54.76%,Houston -5.0,3.0%,1.5%,2.7%,,,
4,11/24/2021,Florida,Ohio State,-2.0,Florida Wins By 2.5,55.25%,-110,138.0,139.6,-105.0,Over 138.0,54.76%,Florida -2.0,3.0%,1.5%,2.7%,,,
5,11/24/2021,Michigan,Tarleton State,-22.0,Michigan Wins By 15.3,50.35%,100,129.5,135.5,100.0,Over 129.5,56.35%,Tarleton State +22.0,0.4%,0.2%,3.9%,,,
6,11/24/2021,Connecticut,Auburn,-2.5,Connecticut Wins By 4.6,57.32%,-110,142.0,137.9,-110.0,Under 142.0,54.76%,Connecticut -2.5,5.2%,2.6%,1.6%,,,
7,11/24/2021,Florida State,Boston University,-18.0,Florida State Wins By 13.4,50.35%,-110,135.0,129.9,100.0,Under 135.0,56.35%,Boston University +18.0,-2.%,-1.%,3.9%,,,
8,11/24/2021,BYU,Texas Southern,-19.5,BYU Wins By 18.2,50.35%,-105,139.0,126.6,-120.0,Under 139.0,56.35%,Texas Southern +19.5,-0.%,-0.%,-0.%,,,
9,11/24/2021,Oklahoma,Houston Baptist,-34.0,Oklahoma Wins By 28.7,50.35%,-110,146.0,135.8,-120.0,Under 146.0,56.35%,Houston Baptist +34.0,-2.%,-1.%,-0.%,,,
10,11/24/2021,Notre Dame,Texas A&M,-3.5,Notre Dame Wins By 4.0,55.25%,-110,129.5,126.2,-110.0,Under 129.5,54.76%,Notre Dame -3.5,3.0%,1.5%,1.6%,,,
11,11/24/2021,Santa Clara,Fresno State,-6.0,Santa Clara Wins By 5.1,55.25%,-110,142.0,141.0,-120.0,Under 142.0,54.76%,Fresno State +6.0,3.0%,1.5%,-0.%,,,
12,11/24/2021,Murray State,James Madison,-4.5,Murray State Wins By 6.2,55.25%,-110,137.0,135.1,-110.0,Under 137.0,54.76%,Murray State -4.5,3.0%,1.5%,1.6%,,,
13,11/24/2021,Syracuse,VCU,-5.0,Syracuse Wins By 5.7,57.32%,-110,128.5,135.3,-120.0,Over 128.5,54.76%,Syracuse -5.0,5.2%,2.6%,-0.%,,,
14,11/24/2021,South Dakota State,George Mason,-5.5,South Dakota State Wins By 2.6,55.25%,-110,154.5,154.5,-120.0,Under 154.5,54.76%,George Mason +5.5,3.0%,1.5%,-0.%,,,
15,11/24/2021,Missouri State,George Washington,-11.5,Missouri State Wins By 10.4,55.25%,-110,140.0,138.7,-105.0,Under 140.0,54.76%,George Washington +11.5,3.0%,1.5%,2.7%,,,
16,11/24/2021,Colgate,Harvard,-4.0,Colgate Wins By 3.6,51.42%,-110,148.0,147.7,-110.0,Under 148.0,54.06%,Harvard +4.0,-1.%,-0.%,1.6%,,,
17,11/24/2021,Vanderbilt,Pittsburgh,-3.0,Vanderbilt Wins By 4.7,50.35%,-105,129.5,129.2,-105.0,Under 129.5,54.06%,Vanderbilt -3.0,-0.%,-0.%,2.7%,,,
18,11/24/2021,Buffalo,Illinois State,-10.0,Buffalo Wins By 8.6,55.25%,-110,151.5,160.2,-110.0,Over 151.5,54.76%,Illinois State +10.0,3.0%,1.5%,1.6%,,,
