,Date,Favored Team,Underdog Team,Favored Spread,Predicted Outcome,Confidence,Vig,Over Under,Predicted Total,Over Under Vig,Over Under Bet To Take,Over Under Conf,Spread Bet To Take,Half Kelly,Quarter Kelly,Over Under H Kelly,Final Score,Spread Cover,Over Cover
0,01/06/2022,Illinois,Maryland,-11.0,Illinois Wins By 13.5,50.35%,-120,140.0,145.6,-115.0,Over 140.0,48.62%,Illinois -11.0,-4.%,-2.%,0.4%,,,
1,01/06/2022,USC,California,-5.5,USC Wins By 4.5,50.35%,-110,127.5,133.1,-120.0,Over 127.5,55.88%,California +5.5,-2.%,-1.%,-0.%,,,
2,01/06/2022,Indiana,Ohio State,-3.5,Indiana Wins By 3.7,55.25%,-110,137.0,136.7,-115.0,Under 137.0,48.62%,Indiana -3.5,3.0%,1.5%,0.4%,,,
3,01/06/2022,BYU,Pacific,-17.0,BYU Wins By 18.8,50.35%,-120,135.5,133.4,100.0,Under 135.5,48.62%,BYU -17.0,-4.%,-2.%,3.9%,,,
4,01/06/2022,Belmont,Southeast Missouri State,-21.5,Belmont Wins By 20.4,50.35%,-105,162.5,150.2,-120.0,Under 162.5,48.62%,Southeast Missouri State +21.5,-0.%,-0.%,-0.%,,,
5,01/06/2022,North Texas,UAB,-2.0,North Texas Wins By 3.1,55.25%,-110,126.0,129.4,-110.0,Over 126.0,48.62%,North Texas -2.0,3.0%,1.5%,1.6%,,,
6,01/06/2022,Cincinnati,SMU,-2.5,Cincinnati Wins By 2.7,55.25%,-105,142.0,135.0,-115.0,Under 142.0,48.62%,Cincinnati -2.5,4.1%,2.1%,0.4%,,,
7,01/06/2022,Utah,Washington,-9.5,Utah Wins By 8.6,55.25%,-110,148.0,141.3,-105.0,Under 148.0,48.62%,Washington +9.5,3.0%,1.5%,2.7%,,,
8,01/06/2022,UC Riverside,UC San Diego,-6.0,UC Riverside Wins By 9.9,51.42%,-120,134.0,128.0,-110.0,Under 134.0,48.62%,UC Riverside -6.0,-3.%,-1.%,1.6%,,,
9,01/06/2022,Vermont,New Hampshire,-10.5,Vermont Wins By 6.3,51.42%,-110,127.0,125.6,-110.0,Under 127.0,48.62%,New Hampshire +10.5,-1.%,-0.%,1.6%,,,
10,01/06/2022,Grand Canyon,UT Rio Grande Valley,-8.0,Grand Canyon Wins By 5.9,51.42%,-115,142.5,135.7,-115.0,Under 142.5,55.88%,UT Rio Grande Valley +8.0,-2.%,-1.%,0.4%,,,
